Reducer,Classifier,F1 Score,AUC,p-value AUC,p-value F1
PCA,SVM,0.0,0.842032967032967,2.5749628777745276e-16,
PCA,SVM,0.0,0.8181818181818182,2.5749628777745276e-16,
PCA,SVM,0.0,0.9222488038277512,2.5749628777745276e-16,
PCA,SVM,0.0,0.8435406698564594,2.5749628777745276e-16,
PCA,SVM,0.0,0.7318181818181818,2.5749628777745276e-16,
PCA,SVM,0.0,0.9278846153846153,2.5749628777745276e-16,
PCA,SVM,0.0,0.8610047846889952,2.5749628777745276e-16,
PCA,SVM,0.0,0.7892344497607655,2.5749628777745276e-16,
PCA,SVM,0.0,0.8222488038277512,2.5749628777745276e-16,
PCA,SVM,0.0,0.9315789473684211,2.5749628777745276e-16,
PCA,SVM,0.0,0.8255494505494505,2.5749628777745276e-16,
PCA,SVM,0.0,0.8925837320574163,2.5749628777745276e-16,
PCA,SVM,0.0,0.9217703349282296,2.5749628777745276e-16,
PCA,SVM,0.0,0.8720095693779905,2.5749628777745276e-16,
PCA,SVM,0.0,0.9205741626794259,2.5749628777745276e-16,
PCA,SVM,0.0,0.9036172161172161,2.5749628777745276e-16,
PCA,SVM,0.0,0.8959330143540669,2.5749628777745276e-16,
PCA,SVM,0.0,0.750956937799043,2.5749628777745276e-16,
PCA,SVM,0.0,0.9069377990430622,2.5749628777745276e-16,
PCA,SVM,0.0,0.9057416267942584,2.5749628777745276e-16,
PCA,SVM,0.0,0.9333791208791209,2.5749628777745276e-16,
PCA,SVM,0.0,0.7698564593301436,2.5749628777745276e-16,
PCA,SVM,0.0,0.8882775119617226,2.5749628777745276e-16,
PCA,SVM,0.0,0.7858851674641147,2.5749628777745276e-16,
PCA,SVM,0.0,0.7117224880382775,2.5749628777745276e-16,
PCA,SVM,0.0,0.8923992673992673,2.5749628777745276e-16,
PCA,SVM,0.0,0.8882775119617226,2.5749628777745276e-16,
PCA,SVM,0.0,0.921531100478469,2.5749628777745276e-16,
PCA,SVM,0.0,0.8985645933014353,2.5749628777745276e-16,
PCA,SVM,0.0,0.904066985645933,2.5749628777745276e-16,
PCA,SVM,0.0,0.8841575091575091,2.5749628777745276e-16,
PCA,SVM,0.0,0.8339712918660287,2.5749628777745276e-16,
PCA,SVM,0.0,0.7976076555023923,2.5749628777745276e-16,
PCA,SVM,0.0,0.7921052631578948,2.5749628777745276e-16,
PCA,SVM,0.0,0.9291866028708134,2.5749628777745276e-16,
PCA,SVM,0.0,0.8889652014652015,2.5749628777745276e-16,
PCA,SVM,0.0,0.8818181818181818,2.5749628777745276e-16,
PCA,SVM,0.0,0.7875598086124402,2.5749628777745276e-16,
PCA,SVM,0.0,0.8275119617224881,2.5749628777745276e-16,
PCA,SVM,0.0,0.8875598086124402,2.5749628777745276e-16,
PCA,SVM,0.0,0.8326465201465202,2.5749628777745276e-16,
PCA,SVM,0.0,0.8028708133971292,2.5749628777745276e-16,
PCA,SVM,0.0,0.8332535885167465,2.5749628777745276e-16,
PCA,SVM,0.0,0.8478468899521531,2.5749628777745276e-16,
PCA,SVM,0.0,0.8461722488038278,2.5749628777745276e-16,
PCA,SVM,0.0,0.7886904761904762,2.5749628777745276e-16,
PCA,SVM,0.0,0.7552631578947369,2.5749628777745276e-16,
PCA,SVM,0.0,0.7729665071770335,2.5749628777745276e-16,
PCA,SVM,0.0,0.8772727272727273,2.5749628777745276e-16,
PCA,SVM,0.0,0.9002392344497607,2.5749628777745276e-16,
PCA,LogisticRegression,0.0,0.9498626373626373,,
PCA,LogisticRegression,0.0,0.9696172248803828,,
PCA,LogisticRegression,0.0,0.9313397129186602,,
PCA,LogisticRegression,0.0,0.9507177033492823,,
PCA,LogisticRegression,0.0,0.9528708133971292,,
PCA,LogisticRegression,0.0,0.9780219780219781,,
PCA,LogisticRegression,0.0,0.9521531100478469,,
PCA,LogisticRegression,0.0,0.9452153110047847,,
PCA,LogisticRegression,0.0,0.9007177033492824,,
PCA,LogisticRegression,0.0,0.9837320574162679,,
PCA,LogisticRegression,0.0,0.9478021978021979,,
PCA,LogisticRegression,0.0,0.951913875598086,,
PCA,LogisticRegression,0.0,0.9473684210526316,,
PCA,LogisticRegression,0.0,0.9679425837320574,,
PCA,LogisticRegression,0.0,0.9495215311004785,,
PCA,LogisticRegression,0.0,0.9800824175824177,,
PCA,LogisticRegression,0.0,0.926555023923445,,
PCA,LogisticRegression,0.0,0.9260765550239234,,
PCA,LogisticRegression,0.0,0.9523923444976077,,
PCA,LogisticRegression,0.0,0.9691387559808613,,
PCA,LogisticRegression,0.0,0.9674908424908424,,
PCA,LogisticRegression,0.0,0.9507177033492822,,
PCA,LogisticRegression,0.0,0.9344497607655502,,
PCA,LogisticRegression,0.0,0.9655502392344497,,
PCA,LogisticRegression,0.0,0.9349282296650718,,
PCA,LogisticRegression,0.0,0.9507783882783882,,
PCA,LogisticRegression,0.0,0.9643540669856459,,
PCA,LogisticRegression,0.0,0.9617224880382775,,
PCA,LogisticRegression,0.0,0.9327751196172249,,
PCA,LogisticRegression,0.0,0.9413875598086124,,
PCA,LogisticRegression,0.0,0.9219322344322344,,
PCA,LogisticRegression,0.0,0.9574162679425837,,
PCA,LogisticRegression,0.0,0.9430622009569378,,
PCA,LogisticRegression,0.0,0.9471291866028708,,
PCA,LogisticRegression,0.0,0.9889952153110049,,
PCA,LogisticRegression,0.0,0.9571886446886446,,
PCA,LogisticRegression,0.0,0.9698564593301435,,
PCA,LogisticRegression,0.0,0.9351674641148326,,
PCA,LogisticRegression,0.0,0.9729665071770335,,
PCA,LogisticRegression,0.0,0.9279904306220096,,
PCA,LogisticRegression,0.0,0.9585622710622711,,
PCA,LogisticRegression,0.0,0.9748803827751196,,
PCA,LogisticRegression,0.0,0.9533492822966507,,
PCA,LogisticRegression,0.0,0.9011961722488038,,
PCA,LogisticRegression,0.0,0.9648325358851674,,
PCA,LogisticRegression,0.0,0.9322344322344321,,
PCA,LogisticRegression,0.0,0.9236842105263158,,
PCA,LogisticRegression,0.0,0.9538277511961722,,
PCA,LogisticRegression,0.0,0.9832535885167464,,
PCA,LogisticRegression,0.0,0.9598086124401914,,
PCA,KNN,0.8,0.9100274725274726,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7222222222222222,0.9296650717703349,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.5625,0.825,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7272727272727273,0.9063397129186604,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6451612903225806,0.9180622009569378,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7368421052631579,0.9317765567765567,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6875,0.9062200956937799,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6285714285714286,0.8732057416267942,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.5185185185185185,0.8453349282296649,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7368421052631579,0.9244019138755981,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7222222222222222,0.9007554945054945,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6470588235294118,0.8509569377990431,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6842105263157895,0.879665071770335,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6470588235294118,0.9705741626794259,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.5625,0.866866028708134,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7647058823529411,0.9119734432234432,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7027027027027027,0.8483253588516746,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.5625,0.8473684210526315,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6875,0.8514354066985645,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7027027027027027,0.8504784688995215,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.631578947368421,0.8484432234432235,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6875,0.8962918660287083,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6875,0.8834928229665072,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7428571428571429,0.8552631578947368,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7027027027027027,0.9293062200956937,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6285714285714286,0.9013278388278387,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7878787878787878,0.9611244019138755,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.625,0.8777511961722488,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.5714285714285714,0.8854066985645934,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7027027027027027,0.8779904306220097,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6190476190476191,0.867445054945055,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6060606060606061,0.9227272727272727,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6206896551724138,0.8110047846889952,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6470588235294118,0.8452153110047846,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.8205128205128205,0.9827751196172249,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.65,0.9266254578754578,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.8,0.9395933014354066,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6285714285714286,0.8893540669856459,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6875,0.9216507177033493,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.5882352941176471,0.8513157894736842,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7368421052631579,0.8857600732600732,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7058823529411765,0.9214114832535885,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7272727272727273,0.8778708133971291,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.631578947368421,0.8215311004784689,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6470588235294118,0.8979665071770336,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.5714285714285714,0.8422619047619047,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.625,0.9009569377990432,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.7027027027027027,0.8779904306220095,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.8235294117647058,0.9171052631578949,1.0313005687834216e-15,1.5053273991677609e-49
PCA,KNN,0.6,0.8721291866028709,1.0313005687834216e-15,1.5053273991677609e-49
PCA,RandomForest,0.7692307692307693,0.9472298534798534,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7368421052631579,0.9721291866028707,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.5714285714285714,0.9188995215311005,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7692307692307693,0.9442583732057417,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.5806451612903226,0.9645933014354067,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7,0.96875,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7428571428571429,0.9641148325358851,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6470588235294118,0.9462918660287083,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.5333333333333333,0.848444976076555,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7272727272727273,0.9677033492822966,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7058823529411765,0.9251373626373627,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6285714285714286,0.9295454545454545,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7567567567567568,0.9342105263157894,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7428571428571429,0.9753588516746411,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6451612903225806,0.9284688995215311,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7894736842105263,0.9787087912087912,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.625,0.9260765550239235,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.5625,0.9273923444976075,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7428571428571429,0.9630382775119618,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7058823529411765,0.9488038277511962,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6341463414634146,0.9506639194139194,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6206896551724138,0.9421052631578948,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7058823529411765,0.9511961722488038,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6857142857142857,0.9734449760765551,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6666666666666666,0.9464114832535885,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6842105263157895,0.9665750915750916,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6875,0.9736842105263158,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6285714285714286,0.9552631578947368,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.5945945945945946,0.8915071770334928,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7567567567567568,0.92811004784689,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7142857142857143,0.9363553113553112,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6451612903225806,0.957775119617225,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.5714285714285714,0.9566985645933015,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6666666666666666,0.9248803827751196,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.8292682926829268,0.9897129186602871,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7,0.9697802197802198,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7272727272727273,0.9710526315789473,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6060606060606061,0.8929425837320574,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6470588235294118,0.9698564593301434,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.5161290322580645,0.9108851674641147,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7777777777777778,0.9690934065934066,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.717948717948718,0.964354066985646,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6451612903225806,0.9511961722488038,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6666666666666666,0.9039473684210526,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.625,0.9582535885167465,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6470588235294118,0.9010989010989011,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.7027027027027027,0.9156698564593302,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6842105263157895,0.9651913875598086,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.8333333333333334,0.9846889952153111,0.27792048439489087,1.7657893175169525e-49
PCA,RandomForest,0.6,0.9488038277511962,0.27792048439489087,1.7657893175169525e-49
LLE,SVM,0.0,0.8452380952380952,1.0533709983046059e-23,
LLE,SVM,0.0,0.7557416267942585,1.0533709983046059e-23,
LLE,SVM,0.0,0.8186602870813398,1.0533709983046059e-23,
LLE,SVM,0.0,0.8361244019138756,1.0533709983046059e-23,
LLE,SVM,0.0,0.8258373205741627,1.0533709983046059e-23,
LLE,SVM,0.0,0.9271978021978022,1.0533709983046059e-23,
LLE,SVM,0.0,0.7842105263157895,1.0533709983046059e-23,
LLE,SVM,0.0,0.8868421052631579,1.0533709983046059e-23,
LLE,SVM,0.0,0.679665071770335,1.0533709983046059e-23,
LLE,SVM,0.0,0.7399521531100479,1.0533709983046059e-23,
LLE,SVM,0.0,0.9125457875457875,1.0533709983046059e-23,
LLE,SVM,0.0,0.8114832535885168,1.0533709983046059e-23,
LLE,SVM,0.0,0.8636363636363636,1.0533709983046059e-23,
LLE,SVM,0.0,0.7334928229665072,1.0533709983046059e-23,
LLE,SVM,0.0,0.7863636363636363,1.0533709983046059e-23,
LLE,SVM,0.0,0.8076923076923077,1.0533709983046059e-23,
LLE,SVM,0.0,0.8437799043062201,1.0533709983046059e-23,
LLE,SVM,0.0,0.7559808612440191,1.0533709983046059e-23,
LLE,SVM,0.0,0.7875598086124402,1.0533709983046059e-23,
LLE,SVM,0.0,0.8744019138755981,1.0533709983046059e-23,
LLE,SVM,0.0,0.8679029304029304,1.0533709983046059e-23,
LLE,SVM,0.0,0.8722488038277512,1.0533709983046059e-23,
LLE,SVM,0.0,0.7748803827751196,1.0533709983046059e-23,
LLE,SVM,0.0,0.7349282296650718,1.0533709983046059e-23,
LLE,SVM,0.0,0.7937799043062201,1.0533709983046059e-23,
LLE,SVM,0.0,0.8857600732600732,1.0533709983046059e-23,
LLE,SVM,0.0,0.892822966507177,1.0533709983046059e-23,
LLE,SVM,0.0,0.808133971291866,1.0533709983046059e-23,
LLE,SVM,0.0,0.7363636363636363,1.0533709983046059e-23,
LLE,SVM,0.0,0.8696172248803827,1.0533709983046059e-23,
LLE,SVM,0.0,0.8241758241758241,1.0533709983046059e-23,
LLE,SVM,0.0,0.762200956937799,1.0533709983046059e-23,
LLE,SVM,0.0,0.6937799043062202,1.0533709983046059e-23,
LLE,SVM,0.0,0.8052631578947369,1.0533709983046059e-23,
LLE,SVM,0.0,0.9122009569377991,1.0533709983046059e-23,
LLE,SVM,0.0,0.8436355311355311,1.0533709983046059e-23,
LLE,SVM,0.0,0.8605263157894737,1.0533709983046059e-23,
LLE,SVM,0.0,0.8351674641148326,1.0533709983046059e-23,
LLE,SVM,0.0,0.8055023923444976,1.0533709983046059e-23,
LLE,SVM,0.0,0.74688995215311,1.0533709983046059e-23,
LLE,SVM,0.0,0.7463369963369964,1.0533709983046059e-23,
LLE,SVM,0.0,0.8440191387559809,1.0533709983046059e-23,
LLE,SVM,0.0,0.7894736842105263,1.0533709983046059e-23,
LLE,SVM,0.0,0.8339712918660287,1.0533709983046059e-23,
LLE,SVM,0.0,0.8519138755980861,1.0533709983046059e-23,
LLE,SVM,0.0,0.7939560439560439,1.0533709983046059e-23,
LLE,SVM,0.0,0.834688995215311,1.0533709983046059e-23,
LLE,SVM,0.0,0.8370813397129186,1.0533709983046059e-23,
LLE,SVM,0.0,0.7839712918660288,1.0533709983046059e-23,
LLE,SVM,0.0,0.8148325358851676,1.0533709983046059e-23,
LLE,LogisticRegression,0.0,0.8571428571428571,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7607655502392344,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7196172248803828,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8617224880382776,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7555023923444976,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8820970695970696,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7334928229665072,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7925837320574163,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.749043062200957,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8133971291866028,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8278388278388278,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7043062200956938,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7729665071770335,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8349282296650719,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7318181818181818,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8708791208791209,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7966507177033492,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.6229665071770335,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7724880382775119,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8911483253588517,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8553113553113553,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8066985645933014,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7258373205741627,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7849282296650718,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7255980861244019,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8067765567765568,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8174641148325359,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8413875598086124,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.6861244019138757,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7887559808612441,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7664835164835165,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.75311004784689,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7748803827751196,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8014354066985645,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8763157894736843,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8276098901098901,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8779904306220095,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7956937799043062,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7645933014354066,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7095693779904306,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7715201465201464,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7514354066985647,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7514354066985647,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7696172248803828,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.9227272727272727,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.762591575091575,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.7023923444976077,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8035885167464115,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8409090909090909,1.6972594132534288e-25,
LLE,LogisticRegression,0.0,0.8674641148325359,1.6972594132534288e-25,
LLE,KNN,0.6470588235294118,0.9278846153846153,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5714285714285714,0.8906698564593302,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.375,0.7429425837320575,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.6470588235294118,0.9435406698564592,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5806451612903226,0.916866028708134,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5714285714285714,0.9054487179487178,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5625,0.8931818181818182,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5882352941176471,0.8582535885167464,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.3870967741935484,0.8148325358851676,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5714285714285714,0.9179425837320573,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.6666666666666666,0.9005265567765568,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5454545454545454,0.8135167464114832,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.625,0.8894736842105263,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.6285714285714286,0.9038277511961722,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5294117647058824,0.8589712918660287,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.6857142857142857,0.9030448717948718,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5,0.785645933014354,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.42857142857142855,0.7967703349282296,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5625,0.9114832535885167,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.6153846153846154,0.910645933014354,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5882352941176471,0.859775641025641,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.48484848484848486,0.8608851674641148,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5142857142857142,0.8729665071770336,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.6,0.9198564593301436,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.6666666666666666,0.8982057416267943,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.6666666666666666,0.8497023809523808,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.6285714285714286,0.9185406698564593,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5945945945945946,0.8875598086124403,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5454545454545454,0.8830143540669856,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5882352941176471,0.865311004784689,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5365853658536586,0.8752289377289377,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.45161290322580644,0.8971291866028708,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5161290322580645,0.8479665071770335,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5333333333333333,0.8531100478468899,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.6666666666666666,0.9303827751196172,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.6111111111111112,0.8661858974358975,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.7647058823529411,0.9287081339712919,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5294117647058824,0.8400717703349282,2.2863950047539425e-18,6.089112910905895e-44
LLE,KNN,0.5555555555555556,0.8808612440191388,2.2863950047539425e-18,6.089112910905895e-44
